BOOK,CHAPTER,VERSE,LINE,TEXT
"MATT","5","23","1","-то на тѧ"
"MATT","5","24","0","остави тоу даръ твои прѣдъ олътаремъ . ꙇ шедъ прѣжде съмири сѧ ."
"MATT","5","24","1","съ братромъ своимъ . и тогда пришедъ принеси даръ твои ⁘"
"MATT","5","25","0","Бѫди оувѣщаѩ сѧ съ сѫпьремь своимь скоро . доньдеже еси на пѫти"
"MATT","5","25","1","съ нимь . да не прѣдастъ тебе сѫдии . ꙇ сѫдии тѧ прѣдастъ слоуѕѣ ."
"MATT","5","25","2","ꙇ въ темьницѫ въвръжетъ тѧ ."
"MATT","5","26","0","аминь ⷢ҇лѭ тебѣ не изидеши отъ тѫдѣ . доньдеже въздаси"
"MATT","5","26","1","послѣдьнии кодрантъ ⁘"
"MATT","5","27","0","Слꙑшасте ѣко речено бꙑⷭ҇ древънимъ . не прѣлюбꙑ сътвориши ."
"MATT","5","28","0","азъ же ⷢ҇лѭ вамъ . ѣко вьсѣкъ иже вьзьритъ на женѫ съ похотиѭ ."
"MATT","5","28","1","юже любꙑ сътвори съ неѭ въ ⷭ҇рдци своемь ."
"MATT","5","29","0","аще же око твое десное съблажнаатъ тѧ . ꙇзьми е и връзи отъ тебе ."
"MATT","5","29","1","оунѣе бо ти естъ да погꙑблетъ единъ оудъ твоихъ ."
"MATT","5","29","2","а не вьсе тѣло твое въвръжено бѫдетъ въ ꙉеонѫ ."
"MATT","5","30","0","ꙇ аште десна твоѣ рѫка съблажнаатъ тѧ оусѣци ѭ . и връзи отъ себе ."
"MATT","5","30","1","оунѣе бо ти естъ да погꙑблетъ единъ оудъ твоихъ ."
"MATT","5","30","2","а не вьсе тѣло твое идетъ въ ꙉеонѫ ⁘"
"MATT","5","31","0","речено же бꙑстъ . ꙇже аште поуститъ женѫ своѭ ."
"MATT","5","31","1","да дастъ еи кънигꙑ распоустънꙑѩ ."
"MATT","5","32","0","азъ же ⷢ҇лѭ вамъ . ѣко вьсѣкъ поуштаѩи женѫ своѭ"
"MATT","5","32","1","развѣ словесе любодѣинааго . творитъ ѭ прѣлюбꙑ дѣати ."
"MATT","5","32","2","ꙇ иже подъпѣгѫ поемлетъ прѣлюбꙑ творитъ ."
"MATT","5","33","0","пакꙑ слꙑшасте . ѣко речено бꙑⷭ҇ древьниимъ . не въ лъжѫ клънеши сѧ ."
"MATT","5","33","1","въздаси же ⷢ҇ви клѧтвꙑ твоѩ ."
"MATT","5","34","0","азъ же ⷢ҇лѭ вамъ . не клѧти сѧ отънѫдъ ."
"MATT","5","34","1","ни ⷩ҇бмь ѣко прѣстолъ естъ ⷠ҇жии ."
"MATT","5","35","0","ни землеѭ҄ . ѣко подъножие естъ ногама его ."
"MATT","5","35","1","ни иерслмъмъ ѣко гⷬ҇дъ естъ великааго ⷰ҇срѣ ."
"MATT","5","36","0","ни главоѭ своеѭ клъни сѧ ."
"MATT","5","36","1","ѣко не можеши власа единого бѣла ли чръна сътворити ."
"MATT","5","37","0","бѫди же слово ваше еи ей . ꙇ҅ ни ни ."
"MATT","5","37","1","лихое бо сеѭ отъ неприѣзни естъ ."
"MATT","5","38","0","Слꙑшасте ѣко речено бꙑⷭ҇ . око за око и зѫбъ за зѫбъ ."
"MATT","5","39","0","азъ же ⷢ҇лѭ вамъ . не противити сѧ зълоу ."
"MATT","5","39","1","Нъ аще кто тѧ оударитъ въ деснѫѭ ланитѫ . обрати емоу и дроугѫѭ҄ ."
